ALB,ART,BGM,BUF,HPN,JFK,LGA,MSS,RME,ROC,SYR
-21.15,-31.15,-19.45,-13.95,-14.45,-12.85,-12.25,-27.85,-26.75,-15.65,-19.45
-21.15,-27.85,-20.05,-13.95,-15.05,-12.85,-13.35,-27.85,-27.85,-14.45,-19.45
-21.15,-26.75,-20.05,-14.45,-15.05,-12.85,-12.85,-27.25,-26.15,-14.45,-19.45
-21.15,-23.35,-19.45,-14.45,-15.05,-12.25,-12.85,-26.75,-25.65,-13.95,-21.15
-21.15,-18.35,-18.95,-13.35,-14.45,-12.25,-12.25,-26.75,-23.95,-13.35,-21.15
-20.65,-15.65,-18.35,-13.95,-14.45,-11.75,-12.25,-25.05,-22.25,-13.35,-13.95
-18.95,-13.95,-17.25,-12.85,-13.35,-10.65,-11.75,-22.85,-21.15,-12.25,-13.35
-17.25,-12.25,-15.65,-11.75,-11.75,-9.45,-10.65,-20.05,-18.35,-11.15,-12.25
-15.65,-6.75,-14.45,-10.05,-10.05,-8.35,-9.45,-15.65,-16.75,-10.65,-11.15
-12.25,-6.75,-12.85,-10.65,-8.35,-7.25,-8.35,-12.85,-13.35,-8.95,-10.05
-10.65,-6.15,-12.25,-10.05,-7.85,-6.15,-7.25,-11.75,-9.45,-8.35,-10.05
-9.45,-6.75,-11.15,-10.65,-7.25,-6.15,-6.75,-10.05,-8.95,-8.95,-8.95
-7.85,-6.75,-11.15,-10.05,-6.75,-5.65,-6.75,-8.95,-8.95,-8.95,-8.35
-6.75,-6.15,-11.75,-9.45,-7.25,-6.75,-6.75,-8.35,-8.35,-8.95,-8.35
-7.85,-6.15,-12.25,-10.65,-7.85,-6.75,-7.25,-7.85,-8.95,-8.95,-8.95
-7.85,-6.75,-12.25,-10.65,-8.35,-7.25,-7.25,-8.35,-9.45,-8.35,-8.95
-7.85,-7.25,-12.25,-10.65,-8.95,-7.25,-7.85,-8.35,-10.05,-8.35,-8.95
-8.35,-7.25,-12.25,-10.65,-9.45,-7.85,-8.35,-7.85,-9.45,-8.95,-9.45
-8.35,-7.25,-12.25,-10.65,-10.05,-7.85,-8.35,-8.35,-9.45,-9.45,-9.45
-8.35,-7.85,-11.75,-10.05,-10.05,-7.25,-8.35,-8.35,-10.05,-8.95,-9.45
-8.95,-8.35,-11.75,-10.65,-9.45,-6.75,-8.35,-8.35,-9.45,-8.35,-9.45
-8.95,-8.95,-11.75,-10.65,-9.45,-6.75,-7.85,-8.35,-9.45,-9.45,-8.95
-9.45,-8.95,-10.65,-10.05,-8.35,-5.65,-6.75,-8.95,-8.95,-9.45,-7.85
-9.45,-8.35,-10.65,-9.45,-7.85,-4.45,-6.15,-9.45,-8.35,-8.95,-8.95
-8.95,-7.85,-10.65,-8.35,-6.75,-2.85,-5.65,-9.45,-9.45,-8.95,-8.95
-10.05,-7.85,-10.65,-8.31,-6.15,-2.25,-5.05,-8.95,-8.95,-7.85,-8.95
-9.45,-7.85,-10.05,-8.31,-5.65,-1.75,-3.95,-8.35,-8.95,-7.25,-8.35
-8.95,-7.25,-10.05,-7.81,-4.45,-2.25,-3.95,-8.35,-7.85,-7.25,-7.85
-8.95,-6.75,-10.05,-7.85,-6.71,-2.25,-3.95,-7.85,-7.85,-6.75,-7.25
-8.35,-6.15,-10.05,-8.35,-6.75,-3.95,-5.05,-7.85,-7.25,-7.25,-7.25
-7.85,-5.65,-8.95,-8.95,-6.75,-3.95,-4.45,-8.35,-6.75,-7.25,-6.75
-7.25,-6.75,-8.35,-8.95,-6.15,-3.35,-3.95,-7.85,-6.15,-7.25,-5.65
-5.65,-6.15,-7.25,-7.85,-5.05,-2.25,-3.35,-7.85,-5.65,-6.75,-7.25
-2.85,-6.15,-7.25,-7.25,-3.35,-1.75,-1.75,-6.75,-6.15,-5.65,-6.15
-2.25,-5.65,-6.75,-7.25,-1.75,0.05,-0.65,-6.15,-6.15,-6.15,-6.15
-2.85,-5.05,-6.75,-7.85,-1.15,0.65,0.05,-5.65,-5.65,-5.65,-6.15
-3.95,-5.05,-6.75,-8.35,-1.15,0.65,0.05,-6.15,-5.05,-5.65,-6.15
-3.95,-4.45,-7.25,-8.35,-1.75,0.05,0.05,-6.15,-5.65,-6.75,-6.15
-5.05,-5.05,-7.85,-8.95,-2.25,0.05,-0.65,-6.75,-6.15,-7.85,-6.75
-5.05,-5.05,-8.95,-10.05,-2.85,-0.65,-1.15,-8.95,-6.75,-8.35,-7.25
-6.75,-6.15,-9.45,-10.05,-2.85,-0.65,-1.15,-7.25,-7.25,-9.45,-8.35
-7.85,-7.25,-10.05,-10.65,-3.35,-1.75,-1.75,-8.35,-7.85,-9.45,-8.95
-10.65,-7.85,-10.65,-10.65,-5.05,-2.25,-2.85,-9.45,-8.35,-10.05,-9.45
-8.35,-7.85,-11.15,-11.15,-5.05,-2.85,-3.35,-10.65,-8.95,-9.45,-9.45
-8.35,-8.35,-11.75,-12.25,-5.65,-3.95,-3.95,-11.75,-8.95,-10.65,-10.05
-8.35,-8.35,-12.85,-12.85,-6.75,-4.45,-4.45,-14.45,-9.45,-10.65,-10.65
-7.85,-8.35,-13.35,-13.35,-7.25,-5.05,-5.05,-14.45,-10.05,-11.15,-11.15
-9.45,-7.85,-13.35,-13.95,-7.85,-5.65,-5.65,-16.15,-10.65,-12.25,-11.75
-9.45,-8.35,-13.95,-14.45,-7.85,-6.15,-6.15,-13.95,-10.65,-13.35,-11.75
-11.75,-8.35,-14.45,-13.95,-8.95,-6.75,-6.75,-14.45,-11.15,-13.35,-12.25
-10.65,-8.35,-15.05,-13.95,-9.45,-7.25,-7.25,-14.45,-12.25,-13.95,-12.85
-11.75,-8.35,-15.65,-13.35,-9.45,-7.25,-7.85,-13.35,-12.25,-13.35,-13.35
-11.75,-8.95,-16.15,-13.35,-10.05,-7.85,-8.35,-13.35,-13.35,-13.35,-13.35
-11.75,-8.35,-16.75,-12.85,-10.05,-7.85,-8.35,-13.35,-13.35,-13.35,-13.35
-10.65,-7.85,-16.15,-12.85,-9.45,-7.85,-8.35,-12.85,-12.85,-12.85,-12.85
-10.05,-7.85,-15.05,-11.75,-8.95,-7.25,-7.85,-11.75,-11.75,-12.85,-11.75
-8.95,-7.85,-14.45,-11.75,-8.35,-6.75,-7.25,-11.15,-11.15,-11.15,-11.75
-7.85,-7.25,-13.35,-11.15,-7.25,-6.15,-7.25,-10.65,-10.65,-11.15,-11.15
-7.25,-7.85,-12.25,-9.45,-6.75,-5.65,-6.75,-9.45,-10.05,-9.45,-10.65
-7.25,-7.25,-11.75,-9.45,-6.75,-5.05,-5.65,-8.35,-9.45,-9.45,-10.65
-7.25,-6.75,-11.15,-9.45,-6.15,-4.45,-5.05,-7.85,-9.45,-8.35,-10.05
-7.25,-8.35,-11.15,-8.95,-6.15,-5.05,-5.65,-9.45,-10.05,-8.35,-8.95
-8.35,-8.35,-11.75,-9.45,-6.75,-5.65,-5.65,-8.95,-10.65,-10.05,-9.45
-10.65,-8.35,-12.25,-9.45,-7.85,-6.15,-6.15,-10.05,-13.35,-10.65,-10.65
-11.75,-6.75,-12.85,-8.35,-8.35,-6.15,-6.15,-9.45,-14.45,-10.05,-10.65
-14.45,-6.15,-13.35,-10.05,-8.35,-6.75,-6.75,-9.45,-17.25,-10.05,-11.75
-15.05,-6.15,-13.35,-10.05,-8.95,-6.75,-6.75,-9.45,-17.25,-10.05,-11.15
-15.05,-5.65,-13.35,-10.05,-8.95,-7.25,-7.25,-9.45,-18.95,-9.45,-10.65
-15.65,-5.65,-12.85,-10.05,-9.45,-7.25,-7.25,-9.45,-17.85,-9.45,-10.05
-11.75,-6.15,-13.35,-10.05,-9.45,-6.75,-7.25,-9.45,-12.85,-10.65,-10.05
-15.05,-7.85,-12.25,-9.45,-10.05,-6.75,-7.25,-10.05,-11.75,-11.15,-11.15
-11.15,-7.25,-11.75,-8.95,-9.45,-6.15,-7.25,-11.15,-11.15,-9.45,-11.75
-11.75,-7.25,-11.75,-8.95,-9.45,-5.65,-6.75,-12.25,-10.05,-8.95,-10.65
-12.25,-6.75,-11.15,-8.35,-9.45,-6.15,-6.15,-11.15,-11.75,-7.85,-10.05
-13.95,-7.85,-11.15,-7.85,-10.05,-6.15,-6.15,-10.05,-11.75,-7.25,-10.05
-11.75,-7.85,-10.65,-7.25,-9.45,-5.65,-6.15,-11.15,-10.65,-7.25,-8.95
-11.15,-7.85,-10.65,-6.75,-8.95,-5.65,-5.65,-9.45,-10.65,-7.25,-8.95
